judge,problem,name,difficulty,theme,date,url
codeforces,110-A,nearly lucky number,easy,ad-hoc,03/Dec/2019,file:///Users/papa/Google%20Drive/dev/icpc/codeforces/110-A.cpp
codeforces,1254-A,feeding chicken,medium,greedy,25/Nov/2019,file:///Users/papa/Google%20Drive/dev/icpc/codeforces/1254-A.cpp
codeforces,1255-A,changing volume,easy,greedy > coins change,25/Nov/2019,file:///Users/papa/Google%20Drive/dev/icpc/codeforces/1255-A.cpp
codeforces,151-A,soft drinking,easy,ad-hoc,03/Dec/2019,file:///Users/papa/Google%20Drive/dev/icpc/codeforces/151-A.cpp
codeforces,266-A,stones on the table,easy,ad-hoc,03/Dec/2019,file:///Users/papa/Google%20Drive/dev/icpc/codeforces/266-A.cpp
codeforces,339-D,xenia and bit operations,easy,searching > segment tree (ST),07/Dec/2019,file:///Users/papa/Google%20Drive/dev/icpc/codeforces/339-D.cpp
uri,1123,route change,medium,graphs > shortest paths > single-source > dijkstra,22/May/2019,file:///Users/papa/Google%20Drive/dev/icpc/uri/1123.cpp
uri,1368,colorful cubes,hard,ad-hoc,22/Jun/2019,file:///Users/papa/Google%20Drive/dev/icpc/uri/1368.cpp
uri,2372,meeting,easy,graphs > shortest paths > all-pairs > floyd-warshall,25/Oct/2019,file:///Users/papa/Google%20Drive/dev/icpc/uri/2372.cpp
uri,2965,denouncing mafia,medium,graphs > depth first search (DFS),28/Oct/2019,file:///Users/papa/Google%20Drive/dev/icpc/uri/2965.cpp
uri,2971,jar of water game,medium,ad-hoc,19/Sep/2019,file:///Users/papa/Google%20Drive/dev/icpc/uri/2971.cpp
uri,3024,mountain ranges,easy,ad-hoc,09/Nov/2019,file:///Users/papa/Google%20Drive/dev/icpc/uri/3024.cpp
uva,10034,freckles,easy,graphs > minimum spanning tree (MST) > kruskal,10/Nov/2019,file:///Users/papa/Google%20Drive/dev/icpc/uva/10034.cpp
